objectid,title,description,orthography,orthography_tone,ipa,part_of_speech,semantic_domain,tone_melody,syllable_structure,phonation_type,english,spanish,speaker,notes,object_location,format,display_template
ka-nu-01,ká'nu,big,ka'nu,ká'nu,[káˀnu],adjective,states of being,HM,CV?CV,glottalized,big,grande,NGC,,objects/grande.wav,audio/wav,audio
ka-yi-01,kà'yi,paint ,ka'yi,kà'yi,[kàˀji],verb (completive),Actions and activities,LM,CV?CV,glottalized,paint ,pintar ,,,,,
ka-yi-02,ká'yi,paint ,ka'yi,ká'yi,[káˀji],verb (continuative),Actions and activities,HM,CV?CV,glottalized,paint ,pintar ,,,,,
ka-yi-03,ka'yi,paint ,ka'yi,ka'yi,[kaˀji],verb (potential),Actions and activities,MM,CV?CV,glottalized,paint ,pintar ,,,,,
kaa-01,káa,DEM,kaa,káa,[káa],,,,,,DEM,DEM,,,,,
kaa-02,kàà,metal,kaa,kàà,[kàà],,,LL,CVV,modal,metal,metal,RDC,,objects/metal.wav,audio/wav,audio
kaa-ka-a-01,kàà ká'à,bell,kaa ka'a,kàà ká'à,[kàà káˀà],noun,houses and parts of houses,LL HL,CVV CV?V,glottalized,bell,campana,RDC,,objects/campana.wav,audio/wav,audio
kachi-01,káchi,to say ,kachi,káchi,[káʰ͡tʃì],verb (continuative),Actions and activities,HM,CVCV,modal,to say ,decir,JGO,,,,
kajni-01,kájnǐ,long,kajni,kájnǐ,[káʰnǐ],adjective,states of being,HR,CVhCV,pre-aspirated,long,largo,NGC,,objects/largo_1.wav,audio/wav,audio
kapo-01,kápo,sterilized/cut,kapo,kápo,[káʰpo],adjective,states of being,HM,CVhCV,pre-aspirated,sterilized/cut,esteralizado/capado,NGC,,objects/esteralizado.wav,audio/wav,audio
kaku-01,kàku,be born ,kaku,kàku,[kàku],verb (completive),Actions and activities,MM,CVCV,modal,be born ,nacer ,LA,nació.wav,objects/nacer.wav,audio/wav,audio
kaku-02,káku,be born ,kaku,káku,[káku],verb (continuative),Actions and activities,H,CVC,modal,be born ,nacer ,,,,,
kaku-03,kaku,be born ,kaku,kaku,[kaku],verb (potential),Actions and activities,M,CVC,modal,be born ,nacer ,,,,,
kaku-e-iin-yuju-01,kàku'é (iin) yùjǔ,run over ,kaku'e (iin) yuju,kàku'é (iin) yùjǔ,,verb (completive),Actions and activities,,,,run over ,tropellar ,,,,,
kaku-in-iin-yuju-01,kàku'ìn iin yùjǔ,run over ,kaku'in iin yuju,kàku'ìn iin yùjǔ,,verb (completive),Actions and activities,,,,run over ,tropellar ,,,,,
kaku-un-iin-yuju-01,kàku'ún iin yùjǔ,run over ,kaku'un iin yuju,kàku'ún iin yùjǔ,,verb (completive),Actions and activities,,,,run over ,tropellar ,,,,,
kaku-uun-ra-yuju-01,kàku'un rà yùjǔ,run over ,kaku'uun ra yuju,kàku'un rà yùjǔ,,verb (completive),Actions and activities,,,,run over ,run over ,,,,,
kakuaxin-01,kàkuaxin,tighten,kakuaxin,kàkuaxin,[kàkʷaʃĩ],verb (completive),Actions and activities,LMM,CVCVCV,modal,tighten,apretar ,,,objects/apretar_(comp).wav,audio/wav,audio
kakuaxin-02,kákuàxin,tighten,kakuaxin,kákuàxin,[kákʷàʃĩ],verb (continuative),Actions and activities,HLM,CVCVCV,modal,tighten,apretar ,,,objects/apretar_(cont).wav,audio/wav,audio
kakuaxin-03,kakuàxin,tighten,kakuaxin,kakuàxin,[kakʷàʃĩ],verb (potential),Actions and activities,MLM,CVCVCV,modal,tighten,apretar ,,,objects/apretar_(pot).wav,audio/wav,audio
kama-01,kama,fast,kama,kama,[kāmā],adjective,descriptions,MM,CVCV,modal,fast,rápido,,,objects/rápido.wav,audio/wav,audio
kama-02,kama,bed,kama,kama,[kāmā],noun,houses and parts of houses,MM,CVCV,modal,bed,cama,NGC,loan word,objects/cama.wav,audio/wav,audio
kamiseta-01,kàmìséta,t-shirt,kamiseta,kàmìséta,[kàmìséta],noun,clothing and cloth objects,LLHM,CVCVCVCV,modal,t-shirt,camiseta,NGC,loan word,objects/camiseta.wav,audio/wav,audio
kanasta-01,kànásta,basket,kanasta,kànásta,[kànástā],noun,tools and implements,LHM,CVCVCCV,modal,basket,canasta,NGC,loan word,objects/canasta.wav,audio/wav,audio
kanata-01,kànatǎ,leave ,kanata,kànatǎ,[kànatǎ],verb (completive),Actions and activities,LMR,CVVCV,modal,leave ,salir ,,in road story as kana,,,
kanata-02,kánatǎ,leave ,kanata,kánatǎ,[kánatǎ],verb (continuative),Actions and activities,HMR,CVVCV,modal,leave ,salir ,,in road story as kana,,,
kanata-03,kanatǎ,leave ,kanata,kanatǎ,[kanatǎ],verb (potential),Actions and activities,MMR,CVVCV,modal,leave ,salir ,,in road story as kana,,,
kani-01,kaní,slippery,kani,kaní,[kãí],adjective,descriptions,MH,CVV,modal,slippery,resbaladizo ,,,,,
kani-02,kàní,smooth,kani,kàní,[kàní],adjective,states of being,LH,CVCV,modal,smooth,liso,NGC,,objects/liso.wav,audio/wav,audio
