objectid,title,description,orthography,orthography_tone,ipa,part_of_speech,semantic_domain,tone_melody,syllable_structure,phonation_type,english,spanish,speaker,notes,object_location,format,display_template
kuntaa-ini-01,kùntaà ini,realize/understand ,kuntaa ini,kùntaà ini,[kuⁿtaà ĩi],verb (completive),Actions and activities,LML MM,CCVV VV,modal,realize/understand ,realizar/ entender ,,,,,
kuntaa-ini-02,kúntaà ini,realize/understand ,kuntaa ini,kúntaà ini,[kúⁿtàà ĩi],verb (continuative),Actions and activities,HLL MM,CVCVV VV,modal,realize/understand ,realizar/ entender ,,,,,
kuntaa-ini-03,kuntàà ini,realize/understand ,kuntaa ini,kuntàà ini,[kuⁿtàà ĩi],verb (potential),Actions and activities,MLL MM,CCVV VV,modal,realize/understand ,realizar/ entender ,,,,,
kuntoso-01,kuntósǒ,be on ,kuntoso,kuntósǒ,[kuⁿtósǒ],verb (potential),Actions and activities,MHR,CCVCV,modal,be on ,estar en ,,,,,
kuntsi-i-01,kùntsǐ'i,turn blue ,kuntsi'i,kùntsǐ'i,[kùⁿt͡sʲi],verb (completive),states of being,LRM,CVCV,glottalized,turn blue ,ponerse azul ,,,,,
kuntsi-i-02,kúntsí'i,turn blue ,kuntsi'i,kúntsí'i,[kúⁿt͡sʲi],verb (continuative),states of being,HHM,CVCV,glottalized,turn blue ,ponerse azul ,,,,,
kuntsi-i-03,kuntsí'i,turn blue,kuntsi'i,kuntsí'i,[kuⁿt͡sʲi],verb (potential),states of being,MHM,CVCV,glottalized,turn blue,ponerse azul ,,,,,
kuntsiaa-01,kuntsiaa,protection,kuntsiaa,,[kuⁿ͡tsʲaa],noun,social events and responsibilities,,CVCVV,modal,protection,protección,NGC,,,,
kuntsie-e-01,kuntsiè'e,watch/see ,kuntsie'e,kuntsiè'e,[kuⁿt͡sʲèˀe],verb (potential),Actions and activities,MLM,CCV?V,glottalized,watch/see ,ver ,,,,,
kuntsiee-01,kúntsiee,to put up with ,kuntsiee,kúntsiee,[kún͡tsʲēē],verb (continuative),states of being,HMM,CVCVV,modal,to put up with ,aguantar ,,,objects/aguanta.wav,audio/wav,audio
kuntu-u-01,kuntú'ǔ,sit ,kuntu'u,kuntú'ǔ,[kuntúˀǔ],verb (potential),Actions and activities,MHR,CCV?V,glottalized,sit ,sentar ,,,,,
kuntuju-01,kúntújǔ,sit ,kuntuju,kúntújǔ,[kúⁿtúʰǔ],verb (continuative),Actions and activities,HHR,CCVhV,modal,sit ,sentar ,,,,,
kuntuju-02,kuntújǔ,sit ,kuntuju,kuntújǔ,[kuⁿtúʰǔ],verb (potential),Actions and activities,MHR,CCVhV,modal,sit ,sentar ,,,,,
kuntutsia-01,kùntutsiǎ,be baptized,kuntutsia,kùntutsiǎ,[kùⁿtut͡sʲǎ],verb (completive),social events and responsibilities,LMR,CVCVCCV,modal,be baptized,bautizar ,,,objects/bautizar_(comp).wav,audio/wav,audio
kuntutsia-02,kúntutsiǎ,be baptized ,kuntutsia,kúntutsiǎ,[kúⁿtut͡sʲǎ],verb (continuative),social events and responsibilities,HMR,CVCVCCV,modal,be baptized ,bautizar ,,,objects/bautizar_(cont).wav,audio/wav,audio
kuntutsia-03,kuntutsiǎ,be baptized ,kuntutsia,kuntutsiǎ,[kuⁿtut͡sʲǎ],verb (potential),social events and responsibilities,MMR,CCVCCV,modal,be baptized ,bautizar ,,,objects/bautizar_(pot).wav,audio/wav,audio
kuntutu-01,kuntutu,little owl,kuntutu,kuntutu,,noun,wild animals,,,modal,little owl,tecolotillo,,,,,
kuntyityi-01,kuntyityi,stand ,kuntyityi,kuntyityi,[kuɲt͡ʃit͡ʃi],verb (potential),Actions and activities,MMM,CCCCVCCV,modal,stand ,estar parado ,,,,,
kunu-u-ini-01,kuñu'u ini,remember1 ,kunu'u ini,kuñu'u ini,[kuɲuˀu ĩi],verb (potential),Actions and activities,MMM MM,CCV?V VV,glottalized,remember1 ,acordar ,,,objects/acordar_(pot).wav,audio/wav,audio
kunumi-01,kùnumí,to cross ,kunumi,kùnumí,[kùnũmĩ́],verb (potential),Actions and activities,LMH,CVCVCV,modal,to cross ,cruzarse ,JGO,,,,
kusi-01,kùsì,sleep (I),kusi,kùsì,,verb (potential),Actions and activities,,,modal,sleep (I),dormir (yo),,,,,
kusi-ra-01,kùsì rà,sleep (Him),kusi ra,kùsì rà,,verb (potential),Actions and activities,,,modal,sleep (Him),dormir (él),,,,,
kusie-01,kùsiě,sleep (We),kusie,kùsiě,,verb (potential),Actions and activities,,,modal,sleep (We),dormir (Nos),,,,,
kusiji-ini-01,kùsijǐ ini,be happy,kusiji ini,kùsijǐ ini,[kùsʲʰǐ ĩi],verb (completive),states of being,LR MM,CVChV VV,aspirated,be happy,estar feliz ,,,,,
kusiji-ini-02,kúsìjǐ ini,be happy ,kusiji ini,kúsìjǐ ini,[kúsʲʰǐ ĩi],verb (continuative),states of being,HR MM,CVChV VV,aspirated,be happy ,estar feliz ,,,,,
kusiji-ini-03,kusìjǐ ini,be happy ,kusiji ini,kusìjǐ ini,[kusʲʰǐ ĩi],verb (potential),states of being,MR MM,CChV VV,aspirated,be happy ,estar feliz ,,,,,
kusiun-01,kùsiǔn,sleep (you),kusiun,kùsiǔn,,verb (potential),Actions and activities,,,modal,sleep (you),dormir (tú),,,,,
kuta-nu-01,kuta'nǔ,cross ,kuta'nu,kuta'nǔ,[kutaˀnǔ],verb (potential),Actions and activities,MMR,CCV?CV,glottalized,cross ,cruzar ,,,,,
kuto-ni-01,kuto'nǐ,observe ,kuto'ni,kuto'nǐ,[kutoˀnǐ],verb (potential),Actions and activities,MMR,CCV?CV,glottalized,observe ,observar ,,,,,
kuto-va-01,kùto'vǎ,study ,kuto'va,kùto'vǎ,[kùtoˀβǎ],verb (completive),Actions and activities,LMR,CVCVCV,glottalized,study ,estudiar ,,,,,
kuto-va-02,kutò'vǎ,study ,kuto'va,kutò'vǎ,[kutoˀβǎ],verb (potential),Actions and activities,MMR,CCV?CV,glottalized,study ,estudiar ,,,,,
kuto-va-03,kútò'vǎ,study ,kutò'va,kútò'vǎ,[kútoˀβǎ],verb (continuative),Actions and activities,HLR,CVCVCV,glottalized,study ,estudiar ,,,,,
kutoo-01,kùtǒò,like ,kutoo,kùtǒò,[kùtǒò],verb (completive),Actions and activities,LRL,CVCVV,modal,like ,gustar ,,,objects/gustar_(comp).wav,audio/wav,audio
kutoo-02,kútóò,like,kutoo,kútóò,[kútóò],verb (continuative),Actions and activities,HHL,CVCVV,modal,like,gustar ,,,objects/gustar_(cont).wav,audio/wav,audio
kutoo-03,kutóò,like ,kutoo,kutóò,[kutóò],verb (potential),Actions and activities,MHL,CCVV,modal,like ,gustar ,,,objects/gustar_(pot).wav,audio/wav,audio
kutsiaku-01,kutsiaku,survive ,kutsiaku,kutsiaku,[kʷt͡sʲaku],verb (potential),life and health,MMM,C(V)CVC,modal,survive ,sobrevivir ,,,,,
kutsikuiin-01,kùtsikuǐìn,get dark ,kutsikuiin,kùtsikuǐìn,[kùt͡sʲkʷǐi᷈̀],verb (completive),Actions and activities,LRL,CVCCVV,modal,get dark ,oscurecer ,,,,,
kutsikuiin-02,kútsi̥kuíìn,get dark ,kutsikuiin,kútsi̥kuíìn,[kút͡sʲkʷíi᷈̀],verb (continuative),Actions and activities,HHL,CVCCVV,modal,get dark ,oscurecer ,,,,,
kutsikuiin-03,kutsi̥kuíìn,get dark ,kutsikuiin,kutsi̥kuíìn,[kut͡sʲkʷíi᷈̀],verb (potential),Actions and activities,MHL,CCCVV,modal,get dark ,oscurecer ,,,,,
kutujun-01,kùtùjǔn,turn black ,kutujun,kùtùjǔn,[kùtùʰǔn],verb (completive),states of being,LLR,CVCVhVC,aspirated,turn black ,ponerse negro ,,,,,
kutujun-02,kútùjǔn,turn black  ,kutujun,kútùjǔn,[kútùʰǔn],verb (continuative),states of being,HLR,CVCVhVC,aspirated,turn black  ,ponerse negro ,,,,,
kutujun-03,kutùjǔn,turn black ,kutujun,kutùjǔn,[kutùʰǔn],verb (potential),states of being,MLR,CCVhVC,aspirated,turn black ,ponerse negro ,,,,,
kutundoso-01,kutundosǒ,try ,kutundoso,kutundosǒ,[kutũdosǒ],verb (potential),Actions and activities,MMMR,CCVCVCV,modal,try ,tratar ,,,,,
kuu-01,kǔu,to not be able to ,kuu,kǔu,[kǔu],verb (completive),Actions and activities,RM,CVV,modal,to not be able to ,poder,JGO,,,,
kuu-02,kuu,die ,kuu,kuu,[kūū],verb (potential),life and health,MM,CVV,modal,die ,morir ,,,objects/morirá.wav,audio/wav,audio
kuu-03,kúu,to be ,kuu,kúu,[kúu],verb (continuative),states of being,,,,to be ,ser ,,,,,
kuun-01,kuun,fall (used for rain) ,kuun,kuun,[kũ̄ũ̄],verb (potential),weather,MM,CVV,modal,fall (used for rain) ,caer ,,,objects/caerá.wav,audio/wav,audio
kuun-02,kúun,to fall ,kuun,kúun,[kṹũ],verb (continuative),,HM,CVV,modal,to fall ,carer ,,,,,
kuxa-nu-01,kúxá'ñù,eat dinner1 ,kuxa'nu,kúxá'ñù,[kúʃáˀñù],verb (continuative),"food, drink, and cooking",HHL,CCV?CV,glottalized,eat dinner1 ,cenar ,,,,,
kuxa-nu-02,kuxá'ñù,eat dinner1 ,kuxa'nu,kuxá'ñù,[kuʃáˀñù],verb (potential),"food, drink, and cooking",MHL,CCV?CV,glottalized,eat dinner1 ,cenar ,,,,,
kuxaa-01,kùxǎà,mature (fruit) ,kuxaa,kùxǎà,[kùʃǎà],verb (completive),"food, drink, and cooking",LRL,CVCVV,modal,mature (fruit) ,madurar ,,,,,
kuxaa-02,kúxáà,mature (fruit)  ,kuxaa,kúxáà,[kúʃáà],verb (continuative),"food, drink, and cooking",HHL,CVCVV,modal,mature (fruit)  ,madurar ,,,,,
kuxaa-03,kuxáà,mature (fruit) ,kuxaa,kuxáà,[kuʃáà],verb (potential),"food, drink, and cooking",MHL,CCVV,modal,mature (fruit) ,madurar ,,,,,
kuxini-01,kuxíni,eat dinner2 ,kuxini,kuxíni,[kuʃi᷈́i],verb (potential),"food, drink, and cooking",MHM,CCVV,modal,eat dinner2 ,cenar ,,,,,
kuyaa-01,kùyaa,turn white  ,kuyaa,kùyaa,[kùjaa],verb (completive),Actions and activities,LMM,CVCVV,modal,turn white  ,ponerse blanco ,,,,,
kuyaa-02,kúyaa,turn white  ,kuyaa,kúyaa,[kújaa],verb (continuative),Actions and activities,HMM,CVCVV,modal,turn white  ,ponerse blanco ,,,,,
kuyaa-03,kuyaa,turn white  ,kuyaa,kuyaa,[kujaa],verb (potential),Actions and activities,MMM,CCVV,modal,turn white  ,ponerse blanco ,,,,,
kuyi-vi-01,kuyí'vi,fear ,kuyi'vi,kuyí'vi,[kujíˀβi],verb (potential),Actions and activities,MHM,CCV?CV,glottalized,fear ,temer ,,,,,
la-a-01,lá'á,weeping,la'a,lá'á,[láˀá],adjective,states of being,HH,CV?V,glottalized,weeping,llorón,,,objects/llorón.wav,audio/wav,audio
la-lo-01,lá'lò,lizard,la'lo,lá'lò,[láˀlò],noun,wild animals,HL,CV?CV,glottalized,lizard,lagartija delgada,NGC,photo?,objects/lagartija_delgada.wav,audio/wav,audio
la-ntsia-01,lá'ntsia,ripped,la'ntsia,lá'ntsia,[láˀⁿt͡sʲa],adjective,states of being,HM,CV?CV,glottalized,ripped,rompido,,,,,
la-nu-01,lá'nu,old,la'nu,lá'nu,[láˀnu],adjective,life and health,HM,CV?CV,glottalized,old,viejo,NGC,,objects/viejo.wav,audio/wav,audio
lajla-01,lajla,hen's crest,lajla,lajla,[laʰla],noun,domesticated animals,MM,CVhCV,pre-aspirated,hen's crest,cresta de gallina,NGC,,objects/cresta_de_gallina.wav,audio/wav,audio
lajlari-01,lajlari,crest,lajlari,,[laʰlari],noun,body parts and the body,,CVhCVCV,pre-aspirated,crest,cresta,NGC,,objects/cresta.wav,audio/wav,audio
lalo-01,lalò,crunchy,lalo,lalò,[lālò],adjective,descriptions,ML,CVCV,modal,crunchy,crujiente ,,,,,
lampa-01,lampa,naked,lampa,lampa,[lāᵐpā],adjective,descriptions,MM,CVCV,modal,naked,desnudo ,,,,,
lanto-01,lantò,boastful,lanto,lantò,[lãtò],adjective,descriptions,ML,CVCV,modal,boastful,presumido,,,,,
lantyi-01,lantyi,lamb/sheep,lantyi,lantyi,[lāⁿ͡tʃī],noun,domesticated animals,MM,CVCV,modal,lamb/sheep,cordero/borrego,,,objects/cordero.wav,audio/wav,audio
laso-ntyixa-01,lásò ntyìxá,palm rope for sandals,laso ntyixa,lásò ntyìxá,[lásò ⁿt͡ʃìʃá],noun,clothing and cloth objects,HL LH,CVCVCVCV,modal,palm rope for sandals,laso de palma para hurache,NGC,,objects/laso_de_palma_para_hurache.wav,audio/wav,audio
laso-xijni-01,lásò xijnǐ,hair braid,laso xijni,lásò xijnǐ,[lásò ʃiʰnǐ],noun,body parts and the body,HL MR,CVCV CVhCV,pre-aspirated,hair braid,trensa de pelo,NGC,,objects/trensa_de_pelo.wav,audio/wav,audio
laxan-01,laxan,bone (archaic),laxan,laxan,[laʃan],noun,body parts and the body,MM,CVCVC,modal,bone (archaic),hueso,,,,,
laxan-02,láxán,chachalaca,laxan,láxán,[láʃã́],noun,wild animals,HH,CVCV,modal,chachalaca,chachalaca,JGO,,,,
leente-01,leentê,lens,leente,leentê,[lēēⁿtê],noun,tools and implements,MMF,CVVCV,modal,lens,lente,,loan word,objects/lente_1.wav,audio/wav,audio
lefante-01,lefante,elephant,lefante,,[lefante],noun,wild animals,,CVCVCCV,modal,elephant,elefante,NGC,loan word,objects/elefante.wav,audio/wav,audio
leke-01,leke,malnourished,leke,leke,[lēkē],adjective,descriptions,MM,CVCV,modal,malnourished,desnutrido/ flaco,,,,,
lelo-01,lélo,skunk,lelo,lélo,[lélo],noun,wild animals,HM,CVCV,modal,skunk,zorrillo,,,objects/zorillo.wav,audio/wav,audio
lenko-01,lenko,lame,lenko,lenko,[lēŋkō],adjective,descriptions,MM,CVCCV,modal,lame,cojo,,,,,
leso-01,leso,rabbit,leso,leso,[lēʰsō],noun,wild animals,MM,CVhCV,pre-aspirated,rabbit,conejo,,,objects/conejo.wav,audio/wav,audio
limo-kuaan-01,līmó kuáàn,lemon,limo kuaan,līmó kuáàn,[līmó kʷã́ã̀],noun,"food, drink, and cooking",MH HL,CVCV CVV,modal,lemon,limón amarillo,NGC,loan word? [media cell had extra text: 'limón_amarillo.wav  2:51-2:53'],https://youtu.be/vSnUpiQcp0s?si=BY2fJBojiUOu__df&t=231,text/html,record
limo-kuiji-01,līmó kuîjǐ,lime,limo kuiji,līmó kuîjǐ,[līmó kʷîʰǐ],noun,"food, drink, and cooking",MH FR,CVCV CVhV,aspirated,lime,limón verde,NGC,,objects/limón_verde.wav,audio/wav,audio
linko-01,linko,bud of the flower of the maguey cactus,linko,linko,[līᵑkō],noun,plants and trees,MM,CVCV,modal,bud of the flower of the maguey cactus,capullo de maguey,,,objects/capullo_de_maguey.wav,audio/wav,audio
linko-02,línko,fruit of maguey cactus,linko,línko,[líᵑko],noun,plants and trees,HM,CVCV,modal,fruit of maguey cactus,fruta de maguey,,,objects/fruta_de_maguey.wav,audio/wav,audio
lis-ton-01,lis ton,ribbon,lis ton,,[lis ton] ??,noun,clothing and cloth objects,,CVC CVC,modal,ribbon,listón,NGC,,objects/listón.wav,audio/wav,audio
lo-o-01,lo'o,small (sg),lo'o,lo'o,[lōˀō],adjective,descriptions,MM,CV?V,glottalized,small (sg),chico/ pequeño,,,,,
lona-01,lonà,multicolored,lona,lonà,[lōnà],adjective,descriptions,ML,CVCV,modal,multicolored,multicolor,,,,,
loro-01,lórò,big parakeet,loro,lórò,[lórò],noun,wild animals,HL,CVCV,modal,big parakeet,perico grande,JGO,,,,
luntu-01,lúntú, short (length),luntu,lúntú,,adjective,descriptions,,CVCCV,, short (length),corto,,,objects/corto.1.wav,audio/wav,audio
luntu-02,lúntu,fruit of maguey cactus,luntu,lúntu,[lúⁿtu],noun,plants and trees,HM,CVCV,modal,fruit of maguey cactus,fruta (de) maguey,NGC,,objects/fruta_maguey.wav,audio/wav,audio
luntu-03,lùntù,short,luntu,lùntù,[lùⁿtù],adjective,states of being,LL,CVCV,modal,short,corto,NGC,,objects/corto_2.wav,audio/wav,audio
luntu-sokon-01,luntu sôkòn,uvula,luntu sokon,luntu sôkòn,[luⁿtu sôkõ̀] ,noun,body parts and the body,MM FL,CVCVCVCVC,modal,uvula,úvula,NGC,,objects/uvula_1.wav,audio/wav,audio
maa-01,má’à,raccoon,ma’a,má’à,[mã́ˀã̀],noun,wild animals,HL,CV?V,glottalized,raccoon,mapache,,,objects/mapache.wav,audio/wav,audio
ma-na-01,mǎ'nà,tired,ma'na,mǎ'nà,[mǎˀnà],adjective,states of being,RL,CV?CV,glottalized,tired,cansado,,,,,
ma-nu-01,ma'ñú,in middle,ma'ñu,ma'ñú,[māˀɲú],adjective,descriptions,MH,CV?CV,glottalized,in middle,medio,,,,,
mali-01,málì,godmother of one's child or mother of one's godchild,mali,málì,[málì],noun,kin terms,HL,CVCV,modal,godmother of one's child or mother of one's godchild,comadre,,double check meaning,objects/comadre.wav,audio/wav,audio
mana-01,mañà,decietful,maña,mañà,[māɲà],adjective,descriptions,ML,CVCV,modal,decietful,tramposo/ engañoso,,,,,
mansana-01,mansana,apple,mansana,,[mansana],noun,"food, drink, and cooking",,CVCCVCV,modal,apple,manzana,NGC,loan word https://youtu.be/vSnUpiQcp0s?si=EsNtozioRBl8zXMu&t=384 6:24-6:25,objects/manzana.wav,audio/wav,audio
mansana-kua-a-01,mansana kua'a,red apple,mansana kua'a,,[mansana kʷaˀa],noun,"food, drink, and cooking",,CVCCVCV CV?V,glottalized,red apple,manzana roja,,https://youtu.be/vSnUpiQcp0s?si=DobBHnYL-m1FjNGc&t=404 6:44-6:45,objects/manzana_roja.wav,audio/wav,audio
mansana-kuaan-01,mansana kuaan,yellow apple,mansana kuaan,,[mansana kʷãã],noun,"food, drink, and cooking",,CVCCVCV CVV,modal,yellow apple,manzana amarilla,NGC,https://youtu.be/vSnUpiQcp0s?si=oYqLR6qtTN2A3XZ0&t=397 6:37 - 6:38,objects/manzana_amarilla.wav,audio/wav,audio
mata-01,mata,leafy,mata,mata,[mātā],adjective,descriptions,MM,CVCV,modal,leafy,frondoso,,,,,
matyi-01,màtyi,soft,matyi,màtyi,[màt͡ʃi],adjective,descriptions,LM,CVCCV,pre-aspirated,soft,suave/blando,,,,,
melon-01,melon,melon,melon,,[melon],noun,"food, drink, and cooking",,CVCVC,modal,melon,melón,,loan word https://youtu.be/vSnUpiQcp0s?si=JoHNNE0O13iXfJ0l&t=719 11:59-12:00,objects/melón.wav,audio/wav,audio
mesa-01,mésa,table,mesa,mésa,[mésā],noun,houses and parts of houses,HM,CVCV,modal,table,mesa,NGC,loan word,objects/mesa.wav,audio/wav,audio
mii-01,míí,FAMILIAR,mii,míí,[mĩ́ĩ́],,,,,,FAMILIAR,FAMILIAR,,,,,
mina-01,mínà,Minas,mina,mínà,[mínà],proper name,directions and locations,HL,CVCV,modal,Minas,Minas,JGO,loan word,objects/minas.wav,audio/wav,audio
minu-ntsiajyi-01,minu ntsiajyǐ,spearmint,minu ntsiajyi,minu ntsiajyǐ,[minu ⁿ͡tsʲaʰji],noun,"food, drink, and cooking",,CVCV CVhV,multiple word types,spearmint,hierbabuena,JGO,,,,
minu-ntutyi-01,minu ntutyi,epazote,minu ntutyi,,[minu ⁿtu͡tʃi],noun,plants and trees,,CVCV CVCV,modal,epazote,epazote,JGO,,,,
molunka-01,mòlòŋka,Almolonga,molunka,mòlòŋka,[mòlòŋka],proper name,directions and locations,LLM,CVCVCV,modal,Almolonga,Almolonga,JGO,loan word,objects/almolonga.wav,audio/wav,audio
montsiiji-01,nontsiíjǐ,sunny,montsiiji,nontsiíjǐ,[noⁿt͡sʲíʰǐ],adjective,weather,MHR,CVCVhV,aspirated,sunny,soleado,JGO,double check this,objects/soleado.wav,audio/wav,audio
mpaa-01,mpáà,godfather of one's child or father of one's godchild,mpaa,mpáà,[ᵐpáà],noun,kin terms,HL,CVV,modal,godfather of one's child or father of one's godchild,compadre,,double check meaning,objects/compadre.wav,audio/wav,audio
mpintsiya-01,mpintsiyá,prickly pear,mpintsiya,mpintsiyá,[ᵐpiⁿt͡sijá],noun,"food, drink, and cooking",MMH,CVCVCV,modal,prickly pear,nopal,,,objects/nopal.wav,audio/wav,audio
na-01,ñà,3SG.N,ña,ñà,[ɲã̀],,,,,,3SG.N,3SG.N,,,,,
na-kaninin-xijni-01,na kaninin xijni,imagination,na kaninin xijni,,[na kaninĩ ʃiʰni],noun,people,,CV CVCVCV CVCV,pre-aspirated,imagination,imaginación,NGC,,,,
na-kuatie-iin-tako-01,na kuatie iin tako,ask,na kuatie iin tako,,,,Actions and activities,,,,ask,pedir,,,,,
na-rosa-01,ña rosa,pink paper,ña rosa,,[ɲa rosa] ,noun,colors,,CV CVCV,modal,pink paper,papel rosa,NGC,,objects/papel_rosa.wav,audio/wav,audio
na-sakase-nchuxi-01,ná sákásě nchuxí,toast,na sakase nchuxi,ná sákásě nchuxí,,,"food, drink, and cooking",,,,toast,dorar,,,,,
na-a-01,na'à,early,na'a,na'à,[nāˀà],adjective,descriptions,ML,CV?V,glottalized,early,temprano,,,,,
naa-01,ñà’a,thing,ña’a,ñà’a,[ɲã̀ˀã],noun,descriptions,L,CV?V,glottalized,thing,cosa,JGO,,,,
nama-01,ñà’mǎ,smooth,na’ma,ñà’mǎ,[ɲã̀ˀmã̌] ,adjective,states of being,LR,CV?CV,glottalized,smooth,liso,,,objects/liso.wav,audio/wav,audio
na-mi-01,ñá'mi,sweet potato,ña'mi,ñá'mi,[ɲáˀmi],noun,"food, drink, and cooking",HM,CV?CV,glottalized,sweet potato,camote,NGC,,objects/camote.wav,audio/wav,audio
na-na-01,ná'ña,lizard (?),na'ña,ná'ña,[náˀɲa],noun,wild animals,HM,CV?CV,glottalized,lizard (?),lagartija,NGC,photo?,objects/lagartija.wav,audio/wav,audio
na-no-01,ña'ño,half,ña'ño,ña'ño,[ɲaˀɲo],noun,numbers,MM,CV?CV,glottalized,half,mitad,NGC,,objects/mitad.wav,audio/wav,audio
na-nu-01,ná'nu,big (pl),na'nu,ná'nu,[náˀnu],adjective,states of being,HM,CV?CV,glottalized,big (pl),grandes,,,objects/grandes.wav,audio/wav,audio
na-u-01,nā'ū,joint,na'u,nā'ū,[nāˀū],noun,body parts and the body,MM,CV?V,glottalized,joint,articulación,NGC,,objects/articulación.wav,audio/wav,audio
na-u-si-in-01,na'u sì'ín,leg joint,na'u si'in,na'u sì'ín,[nāˀū sìˀĩ́],noun,body parts and the body,MM LH,CV?V CV?V,glottalized,leg joint,articulación de la pierna,NGC,Said,objects/articulación_de_la_pierna.wav,audio/wav,audio
naama-01,naama,Paredon,naama,,[naama],proper name,directions and locations,,CVVCV,modal,Paredon,Paredon,JGO,,objects/paredon.wav,audio/wav,audio
naja-01,nājǎ,dark,naja,nājǎ,[nāʰǎ],adjective,states of being,MR,CVhV,aspirated,dark,oscuro,NGC,,objects/oscuro.wav,audio/wav,audio
najma-01,najmǎ,soap,najma,najmǎ,[naʰmǎ],noun,life and health,MR,CVhCV,pre-aspirated,soap,jabón,NGC,,objects/jabón.wav,audio/wav,audio
najma-nijin-01,ñâjmá nîjin,corn veneer,ñajma nijin,ñâjmá nîjin,[ɲâʰmá nîʰĩ],proper name,directions and locations,FH FM,CVhCV CVhV,pre-aspirated,corn veneer,Totomoxtle,NGC,,objects/totomoxtle.wav,audio/wav,audio
najni-01,najnǐ,waterfall,najni,najnǐ,[naʰnǐ],noun,landscape and environment,MR,CVhCV,pre-aspirated,waterfall,cascada,NGC,,objects/cascada.wav,audio/wav,audio
najni-02,nájnǐ,long (pl),najni,nájnǐ,[naʰnǐ],adjective,states of being,HL,CVhCV,pre-aspirated,long (pl),largo,,pre-aspirated?,objects/largo_2.wav,audio/wav,audio
naka-ma-01,naka'ma,sew ,naka'ma,naka'ma,[nakaˀma],verb (potential),Actions and activities,MMM,CVCV?CV,glottalized,sew ,cocer,,,,,
naka-ma-02,náka'ma,sew ,naka'ma,náka'ma,[nákaˀma],verb (continuative),Actions and activities,HMM,CVCV?CV,glottalized,sew ,cocer,,,,,
naka-ma-03,nàka'ma,sew ,naka'ma,nàka'ma,[nàkaˀma],verb (completive),Actions and activities,LMM,CVCV?CV,glottalized,sew ,cocer,,,,,
naka-nu-01,naka'nǔ,"fold (tr, doblar) ",naka'nu,naka'nǔ,[nakaˀnǔ],verb (potential),Actions and activities,MMR,CVCV?CV,glottalized,"fold (tr, doblar) ",doblar,,,,,
naka-nu-02,náka'nǔ,"fold (tr, doblar) ",naka'nu,náka'nǔ,[nákaˀnǔ],verb (continuative),Actions and activities,HMR,CVCV?CV,glottalized,"fold (tr, doblar) ",doblar,,,,,
naka-nu-03,nàka'nǔ,"fold (tr, doblar) ",naka'nu,nàka'nǔ,[nàkaˀnǔ],verb (completive),Actions and activities,LMR,CVCV?CV,glottalized,"fold (tr, doblar) ",doblar,,,,,
naka-yi-01,naka'yì,paint ,naka'yì,naka'yì,[nakaˀjì],verb (potential),Actions and activities,MML,CVCV?CV,glottalized,paint ,pintar,,,,,
naka-yi-02,nàka'yì,paint ,naka'yì,nàka'yì,[nàkaˀjì],verb (completive),Actions and activities,LML,CVCV?CV,glottalized,paint ,pintar,,,,,
nakanini-01,nàkanini,think ,nakanini,nàkanini,[nàkãĩi],verb (completive),Actions and activities,LMMM,CVCVVV,modal,think ,pensar ,,,,,
nakanini-02,nàkaninì,think ,nakanini,nàkaninì,[nàkãĩì],verb (completive),Actions and activities,LMML,CVCVVV,modal,think ,pensar ,,,,,
nakanini-03,nákanini,think ,nakanini,nákanini,[nákãĩi],verb (continuative),Actions and activities,HMMM,CVCVVV,modal,think ,pensar ,,,,,
nakanini-04,nákaninì,think ,nakanini,nákaninì,[nákãĩì],verb (continuative),Actions and activities,HMML,CVCVVV,modal,think ,pensar ,,,,,
nakanini-05,nakanini,think ,nakanini,nakanini,[nakãĩi],verb (potential),Actions and activities,MMMM,CVCVVV,modal,think ,pensar ,,,,,
nakanini-06,nakaninì,think ,nakanini,nakaninì,[nākãĩì],verb (potential),Actions and activities,MMML,CVCVVV,modal,think ,pensar ,,,,,
nakantu-u-01,nàkantú'ù,lie down ,nakantu'u,nàkantú'ù,[nàkãⁿtúˀù],verb (completive),Actions and activities,LMHL,CVCVCV?V,glottalized,lie down ,acostar ,,,,,
nakantu-u-02,nákantú'ù,lie down ,nakantu'u,nákantú'ù,[nákãⁿtúˀù],verb (continuative),Actions and activities,HMHL,CVCVCV?V,glottalized,lie down ,acostar ,,,,,
nakantu-u-03,nakantú'ù,lie down ,nakantu'u,nakantú'ù,[nakãⁿtúˀù],verb (potential),Actions and activities,MMHL,CVCVCV?V,glottalized,lie down ,acostrar ,,,,,
nakatsia-01,nakatsià,wash ,nakatsia,nakatsià,[nakat͡sʲà],verb (potential),Actions and activities,MML,CVCVCCV,modal,wash ,lavar,,,objects/lavar_(pot).wav,audio/wav,audio
nakatsia-02,nákatsià,wash ,nakatsia,nákatsià,[nákat͡sʲà],verb (continuative),Actions and activities,HML,CVCVCCV,modal,wash ,lavar,,,objects/lavar_(cont).wav,audio/wav,audio
nakatsia-03,nàkatsià,wash ,nakatsia,nàkatsià,[nàkat͡sʲà],verb (completive),Actions and activities,LML,CVCVCCV,modal,wash ,lavar,,,objects/lavar_(comp).wav,audio/wav,audio
nakatyine-01,nakatyiñe,example,nakatyiñe,,[naka͡tʃiñe],noun,tools and implements,,CVCVCVCV,modal,example,ejemplo,NGC,,,,
